query,wiki_id
Walk Hard: The Dewey Cox Story 2007 film Jake Kasdan,9264215
All Quiet on the Western Front 2022 film Edward Berger,68924608
Lost Highway 1997 film David Lynch,204839
Magnolia 1999 film Paul Thomas Anderson,231829
The Virgin Suicides 2000 film Sofia Coppola,3610087
The Talented Mr. Ripley 1999 film Anthony Minghella,536009
Pirates of the Caribbean: The Curse of the Black Pearl 2003 film Gore Verbinski,321496
Wild Things 1998 film John McNaughton,423372
A Knight's Tale 2001 film Brian Helgeland,65669
Roxanne 1987 film Fred Schepisi,574768
Brewster McCloud 1970 film Robert Altman,1436649
The Portrait of a Lady 1996 film Jane Campion,887135
Hundreds of Beavers 2024 film Mike Cheslik,76208655
Napoleon Dynamite 2004 film Jared Hess,882119
Hairspray 1988 film John Waters,1613987
The Master 2012 film Paul Thomas Anderson,31960682
The Trip 1967 film Roger Corman,696925
The Shooting 1966 film Monte Hellman,2294746
Midnight Cowboy 1969 film John Schlesinger,42147
Airport 1970 film George Seaton,99459
A Man Escaped 1956 film Robert Bresson,2819346
Empire of the Sun 1987 film Steven Spielberg,146077
The Warriors 1979 film Walter Hill,1173571
The Old Oak 2023 film Ken Loach,73635750
A Clockwork Orange 1971 film Stanley Kubrick,1659954
Touchez Pas au Grisbi 1954 film Jacques Becker,3654148
Friday the 13th: The Final Chapter 1984 film Joseph Zito,2546429
To Have and Have Not 1945 film Howard Hawks,1971307
Bob le Flambeur 1956 film Jean-Pierre Melville,2482275
Le Doulos 1962 film Jean-Pierre Melville,5092969
Un Flic 1972 film Jean-Pierre Melville,3819103
Dark Passage 1947 film Delmer Daves,1668866
Key Largo 1948 film John Huston,1397142
Lawrence of Arabia 1962 film David Lean,43452
Written on the Wind 1956 film Douglas Sirk,1365472
How to Marry a Millionaire 1953 film Jean Negulesco,911882
Hackers 1995 film Iain Softley,40852758
Harper 1966 film Jack Smight,6646087
The Straight Story 1999 film David Lynch,31351
Murder on the Orient Express 1974 film Sidney Lumet,5028092
The Lady Vanishes 1938 film Alfred Hitchcock,9404578
The 39 Steps 1935 film Alfred Hitchcock,3724436
The Searchers 1956 film John Ford,76335
Army of Shadows 1969 film Jean-Pierre Melville,3723140
